USports
WCC,North,South,,,,,,,,,,,
MCC,West,Independent,,,,,,,,,,,
Metro,Eastern,Western,,,,,,,,,,,
CCC,North,South,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Q 10,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# WCC,,,,,,,,,,,,,
TEAM,WCC,South,Calgary,UCAL,95,UOA,,,,,,,
TEAM,WCC,South,British Columbia,UBC,85,SFU,,,,,,,
TEAM,WCC,South,Lethbridge,ULTH,80,USAS,,,,,,,
TEAM,WCC,South,Victoria,UVIC,80,VIU,,,,,,,
TEAM,WCC,South,Thompson Rivers,TRU,75,UNBC,,,,,,,
TEAM,WCC,South,Mount Royal,65,MRU,BCIT,,,,,,,
TEAM,WCC,South,Concordia Alberta,CONA,REGL,,,,,,,
TEAM,WCC,North,Alberta,UOA,90,UCAL,,,,,,,
TEAM,WCC,North,Saskatchewan,USAS,90,ULTH,,,,,,,
TEAM,WCC,North,Simon Fraser,SFU,80,UBC,,,,,,,
TEAM,WCC,North,Vancouver Island,VIU,70,UVIC,,,,,,,
TEAM,WCC,North,Northern BC,UNBC,70,TRU,,,,,,,
TEAM,WCC,North,Regina-Luther,REGL,60,CONA,,,,,,,
TEAM,WCC,North,BC Tech,BCIT,55,MRU,,,,,,,
# MCC,,,,,,,
TEAM,MCC,West,Brandon,BRU,80,REG,,,,,,,
TEAM,MCC,West,Winnipeg,UWIN,85,RMC,,,,,,,
TEAM,MCC,West,MacEwan,MCEW,70,KWAP,,,,,,,
TEAM,MCC,West,Northern Alberta Institute of Technology,NAIT,70,SAIT,,,,,,,
TEAM,MCC,West,Kings University,KING,75,CAP,,,,,,,
TEAM,MCC,West,Ambrose,ABRO,65,FNUC,,,,,,,
TEAM,MCC,West,Royal Roads,RRU,60,CMU,,,,,,,
TEAM,MCC,Independent,Royal Military,RMC,85,UWIN,,,,,,,
TEAM,MCC,Independent,Regina,REG,85,RMC,,,,,,,
TEAM,MCC,Independent,Kwantlen Polytechnic,KWAP,65,MCEW,,,,,,,
TEAM,MCC,Independent,SAIT Polytechnic,SAIT,65,NAIT,,,,,,,
TEAM,MCC,Independent,Capilano,CAP,50,KING,,,,,,,
TEAM,MCC,Independent,First Nations,FNUC,50,ABRO,,,,,,,
TEAM,MCC,Independent,Canadian Mennonite,CMU,50,RRI,,,,,,,
# Metro,,,,,,,
TEAM,Metro,Western,Western,UWO,98,MCM,,,,,,,
TEAM,Metro,Western,Wilfrid Laurier,WFLU,85,GUE,,,,,,,
TEAM,Metro,Western,Waterloo,UWAT,85,YORK,,,,,,,
TEAM,Metro,Western,Windsor,WIN,80,TOR,,,,,,,
TEAM,Metro,Western,Trent,TREN,75,TWS,,,,,,,
TEAM,Metro,Western,St. Michaels,STM,70,,,,,,,
TEAM,Metro,Western,OCAD,OCAD,65,RYER,,,,,,,
TEAM,Metro,Eastern,McMaster,MCM,95,UWO,,,,,,,
TEAM,Metro,Eastern,Guelph,GUE,90,WLFU,,,,,,,
TEAM,Metro,Eastern,Toronto,TOR,80,WIN,,,,,,,
TEAM,Metro,Eastern,York,YORK,75,UWAT,,,,,,,
TEAM,Metro,Eastern,Ryerson,RYER,65,,,,,,,
TEAM,Metro,Eastern,Brock,BROK,60,,,,,,,
TEAM,Metro,Eastern,Trinity,TWS,50,TREN,,,,,,,
# CCC,,,,,,,
